"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Christopher Olney Jr.","PHI","2024","CM","27","0.00","-0.00","-0.02","-0.02","-0.01","-0.01","-0.05"
"","Mohamed Farsi","CLB","2024","FB","2099","-0.13","0.82","-0.48","-1.89","1.43","0.19","-0.05"
"","Mikkel Desler","ATX","2024","FB","545","0.04","0.01","0.08","-0.28","0.03","0.07","-0.05"
"","Alessandro Biello","MTL","2024","CM","24","-0.03","0.01","-0.00","0.01","-0.02","-0.01","-0.05"
"","Joey Skinner","NSH","2024","W","14","-0.01","-0.00","-0.03","0.01","-0.01","-0.01","-0.05"
"","Johnny Russell","SKC","2024","W","1931","0.12","0.07","0.22","0.04","-0.61","0.11","-0.05"
"","Alonso Jiménez","ATX","2024","DM","32","0.00","-0.00","-0.02","-0.03","-0.00","-0.01","-0.06"
"","Chris Donovan","PHI","2024","ST","511","-0.12","-0.02","0.06","-0.26","0.33","-0.05","-0.06"
"","Tucker Lepley","LAG","2024","DM","56","-0.00","-0.01","0.01","0.00","-0.04","-0.02","-0.06"
"","Carl Sainté","FCD","2024","DM","186","-0.04","-0.00","0.22","-0.15","-0.04","-0.04","-0.06"
"","James Sands","NYC","2024","DM","2931","-0.08","-0.24","0.51","0.46","-0.27","-0.42","-0.06"
"","Sam Adekugbe","VAN","2024","FB","862","-0.26","-0.04","-0.08","0.11","0.20","0.01","-0.06"
"","Alenis Vargas","SKC","2024","W","736","0.17","0.02","0.08","0.02","-0.26","-0.11","-0.06"
"","Tristan Blackmon","VAN","2024","CB","2117","0.06","0.14","-0.64","0.33","0.06","-0.02","-0.07"
"","Jared Stroud","DCU","2024","W","2749","-0.36","0.07","-0.06","-0.36","0.30","0.34","-0.07"
"","Lamine Diack","COL","2024","W","43","-0.02","-0.00","0.02","0.01","-0.05","-0.02","-0.07"
"","Rubén Ramos Jr.","LAG","2024","ST","19","-0.03","-0.00","-0.01","-0.00","-0.02","-0.01","-0.07"
"","Paxton Pomykal","FCD","2024","CM","10","-0.02","0.00","-0.02","-0.02","-0.00","-0.00","-0.07"
"","Charles Sharp","TOR","2024","ST","36","-0.02","-0.00","0.03","-0.02","-0.03","-0.02","-0.07"
"","Malcolm Fry","NER","2024","ST","39","-0.06","-0.01","0.01","-0.02","0.02","-0.02","-0.07"
"","Lukas MacNaughton","NSH","2024","CB","455","-0.13","-0.01","-0.18","0.02","0.14","0.10","-0.07"
"","Sunusi Ibrahim","MTL","2024","ST","1181","-0.40","-0.13","0.18","-0.18","0.50","-0.04","-0.07"
"","Michael Baldisimo","SJE","2024","CM","32","-0.00","-0.02","-0.04","-0.00","-0.01","-0.01","-0.07"
"","Nicolas Fleuriau Chateau","VAN","2024","FB","50","0.04","0.00","0.01","-0.09","-0.02","-0.01","-0.07"
"","Monsef Bakrar","NYC","2024","ST","1550","-0.23","-0.11","-0.03","-0.99","0.87","0.42","-0.08"
"","Teemu Pukki","MIN","2024","ST","1064","-0.82","-0.09","-0.12","-0.04","0.44","0.53","-0.08"
"","Roald Mitchell","NYRB","2024","ST","27","-0.03","-0.00","-0.00","0.01","-0.04","-0.02","-0.08"
"","Idan Toklomati","CLT","2024","W","26","-0.02","-0.00","-0.01","-0.01","-0.02","-0.01","-0.09"
"","Luis Müller","LAFC","2024","W","23","-0.02","-0.00","-0.06","-0.02","-0.01","0.03","-0.09"
"","Stiven Jimenez","CIN","2024","AM","13","-0.00","-0.06","-0.01","-0.00","-0.01","-0.01","-0.09"
"","Richie Laryea","TOR","2024","FB","1018","-0.09","0.39","-0.11","-0.55","0.27","-0.00","-0.09"
"","Tega Ikoba","POR","2024","ST","16","-0.07","-0.00","-0.01","-0.02","0.01","-0.01","-0.09"
"","Emil Forsberg","NYRB","2024","W","1512","-0.29","-0.04","-0.10","0.92","-0.73","0.14","-0.09"
"","Nimfasha Berchimas","CLT","2024","W","40","-0.05","-0.00","-0.00","-0.01","-0.03","0.00","-0.09"
"","Nathan Saliba","MTL","2024","CM","1846","0.11","-0.14","0.70","-0.21","-0.53","-0.01","-0.09"
"","Lewis O'Brien","LAFC","2024","CM","871","-0.01","-0.04","0.30","-0.09","-0.17","-0.08","-0.10"
"","Tommy Thompson","SJE","2024","FB","140","-0.00","-0.00","-0.01","-0.03","-0.06","0.01","-0.10"
"","David Schnegg","DCU","2024","FB","138","-0.06","0.01","-0.16","-0.00","0.08","0.04","-0.10"
"","Yutaro Tsukada","ORL","2024","W","38","-0.08","-0.00","0.03","-0.03","-0.00","-0.02","-0.10"
"","Jackson Yueill","SJE","2024","DM","2688","-0.28","-0.01","0.01","0.39","-0.03","-0.18","-0.10"
"","Mykhi Joyner","STL","2024","W","50","-0.03","-0.01","-0.00","-0.01","-0.04","-0.03","-0.11"
"","Gastón Giménez","CHI","2024","DM","1940","0.25","-0.29","0.90","-0.12","-0.63","-0.23","-0.11"
"","Brandon Cambridge","CLT","2024","W","48","0.05","-0.01","-0.03","-0.08","-0.02","-0.02","-0.11"
"","Taha Habroune","CLB","2024","AM","120","0.01","-0.01","0.07","-0.07","-0.10","-0.02","-0.11"
"","Mohammed Sofo","NYRB","2024","W","33","-0.05","-0.00","-0.01","-0.06","0.03","-0.02","-0.11"
"","Osman Bukari","ATX","2024","W","676","0.39","-0.01","-0.05","-0.35","0.06","-0.16","-0.12"
"","Kayden Pierre","SKC","2024","FB","498","0.19","0.02","-0.12","-0.07","-0.09","-0.05","-0.12"
"","Simon Becher","STL","2024","ST","610","-0.35","0.19","-0.12","-0.22","0.53","-0.15","-0.12"
"","Édier Ocampo","VAN","2024","FB","201","-0.00","0.04","-0.01","-0.25","0.06","0.05","-0.12"
"","Preston Judd","SJE","2024","ST","858","0.20","-0.04","-0.17","0.24","-0.21","-0.15","-0.12"
"","Michael Halliday","ORL","2024","FB","155","-0.11","0.00","-0.09","-0.00","0.06","0.02","-0.12"
"","Mauricio Cuevas","LAG","2024","FB","429","-0.05","-0.03","0.23","-0.46","0.24","-0.06","-0.13"
"","Moses Nyeman","MIN","2024","DM","163","-0.00","0.00","0.05","-0.08","-0.06","-0.04","-0.13"
"","Victor Eriksson","MIN","2024","CB","198","-0.11","0.02","0.03","-0.06","0.00","-0.01","-0.13"
"","Jamar Ricketts","SJE","2024","W","45","-0.03","-0.01","-0.05","-0.00","-0.03","-0.02","-0.13"
"","Vitor Costa","SJE","2024","FB","2321","-0.23","0.10","0.40","-0.71","0.17","0.14","-0.13"
"","Jeorgio Kocevski","ORL","2024","DM","214","0.02","-0.01","0.03","0.03","-0.12","-0.09","-0.13"
"","Marino Hinestroza","CLB","2024","AM","427","-0.10","-0.04","-0.06","-0.35","0.30","0.11","-0.14"
"","Marlon","LAFC","2024","CB","152","-0.06","-0.03","-0.05","-0.03","-0.00","0.04","-0.14"
"","Dominique Badji","DCU","2024","ST","349","0.08","-0.06","0.07","-0.60","0.34","0.03","-0.14"
"","Cedric Teuchert","STL","2024","ST","840","0.15","-0.11","-0.04","0.16","-0.65","0.34","-0.14"
"","Noel Caliskan","RSL","2024","DM","232","-0.03","-0.00","-0.05","-0.01","-0.04","-0.01","-0.14"
"","Shanyder Borgelin","MIA","2024","ST","184","0.06","-0.01","-0.02","0.03","-0.16","-0.03","-0.15"
"","Jack Panayotou","NER","2024","W","289","0.16","-0.01","-0.03","-0.01","-0.18","-0.07","-0.15"
"","Julian Gaines","NSH","2024","FB","250","-0.06","-0.00","0.03","-0.07","-0.01","-0.03","-0.15"
"","Benji Michel","RSL","2024","ST","39","0.03","-0.00","-0.05","-0.06","-0.04","-0.02","-0.15"
"","Sebastian Anderson","COL","2024","FB","588","-0.05","0.04","-0.12","0.03","0.01","-0.05","-0.15"
"","Pablo Ruiz","RSL","2024","AM","194","-0.10","-0.04","-0.05","0.00","-0.02","0.06","-0.15"
"","Brian Gutiérrez","CHI","2024","W","2668","0.14","-0.00","-0.72","0.97","-0.51","-0.04","-0.15"
"","Sota Kitahara","SEA","2024","FB","160","-0.00","0.01","0.00","-0.09","-0.05","-0.03","-0.16"
"","Alejandro Bran","MIN","2024","CM","476","-0.09","0.21","-0.02","-0.15","-0.09","-0.04","-0.17"
"","Eugene Ansah","FCD","2024","AM","533","0.07","-0.07","-0.11","-0.26","0.23","-0.03","-0.17"
"","Lawson Sunderland","MIA","2024","CM","214","0.01","-0.01","0.02","-0.13","-0.01","-0.05","-0.17"
"","Jake Nerwinski","STL","2024","FB","663","-0.15","0.06","0.09","-0.05","-0.11","-0.01","-0.17"
"","Jackson Travis","COL","2024","FB","539","0.04","0.00","0.20","-0.27","-0.08","-0.07","-0.17"
"","Érik Dueñas","LAFC","2024","CM","452","-0.13","-0.01","0.26","-0.16","-0.04","-0.10","-0.17"
"","Héctor Jiménez","ATX","2024","FB","664","-0.04","0.04","-0.18","0.19","-0.14","-0.04","-0.17"
"","Julián Fernández","NYC","2024","W","808","0.31","0.00","0.13","-0.53","-0.16","0.06","-0.18"
"","Efrain Morales","ATL","2024","CB","288","-0.01","-0.03","-0.15","-0.09","0.05","0.06","-0.18"
"","Caden Clark","MIN, MTL","2024","FB","1915","-0.78","-0.20","0.22","-0.18","0.73","0.04","-0.18"
"","Amar Sejdić","NSH","2024","DM","404","0.01","-0.02","-0.10","0.02","-0.14","0.05","-0.18"
"","Nemanja Radoja","SKC","2024","DM","2375","0.19","0.05","-0.48","0.09","0.04","-0.06","-0.18"
"","Tate Schmitt","HOU","2024","FB","527","-0.08","0.02","-0.29","0.01","0.05","0.11","-0.18"
"","Matías Rojas","MIA","2024","W","901","0.01","-0.03","-0.19","0.22","-0.15","-0.04","-0.18"
"","Brendan Hines-Ike","ATX","2024","CB","2516","-0.32","-0.62","0.65","0.17","-0.04","-0.04","-0.19"
"","Rasmus Alm","STL","2024","W","962","-0.28","-0.10","0.11","0.22","0.02","-0.17","-0.19"
"","Felipe Carballo","NYRB","2024","CM","503","-0.02","-0.26","-0.06","0.14","-0.05","0.06","-0.19"
"","Chris Durkin","STL","2024","DM","2577","-0.39","0.12","0.39","-0.31","-0.12","0.12","-0.20"
"","Duncan McGuire","ORL","2024","ST","1841","-0.85","-0.24","-0.35","-0.22","1.41","0.05","-0.20"
"","Lorenzo Insigne","TOR","2024","AM","1513","0.27","-0.19","-0.08","-0.23","-0.21","0.23","-0.21"
"","Dawid Bugaj","MTL","2024","FB","179","0.04","0.01","0.05","-0.27","-0.02","-0.02","-0.21"
"","Tyger Smalls","CLT","2024","W","322","0.06","-0.05","0.00","0.04","-0.20","-0.07","-0.21"
"","Bode Hidalgo","RSL","2024","FB","1631","-0.08","0.06","-0.02","0.38","-0.35","-0.20","-0.21"
"","Sebastian Berhalter","VAN","2024","CM","2109","-0.86","0.27","-0.16","0.72","-0.28","0.11","-0.21"
"","DeJuan Jones","CLB, NER","2024","FB","2057","-0.22","0.35","0.49","-1.36","0.50","0.02","-0.21"
"","Isaiah Jones","NSH","2024","CM","27","-0.20","-0.00","0.00","0.01","-0.02","-0.01","-0.21"
"","João Pedro","CLT","2024","FB","512","-0.01","0.07","-0.17","0.03","-0.10","-0.03","-0.22"
"","Cristian Dájome","DCU","2024","FB","2303","-0.02","-0.12","-0.03","-0.02","-0.10","0.06","-0.22"
"","Bartosz Slisz","ATL","2024","DM","2706","0.23","-0.00","0.06","-0.23","-0.21","-0.06","-0.23"
"","Jacen Russell-Rowe","CLB","2024","ST","1193","-0.24","-0.13","-0.17","-0.43","0.42","0.32","-0.23"
"","Andrew Gutman","CHI","2024","FB","792","-0.33","0.07","-0.04","-0.20","0.16","0.11","-0.23"
"","Dylan Chambost","CLB","2024","CM","628","0.03","-0.06","0.19","0.05","-0.25","-0.19","-0.24"
"","Marcel Hartel","STL","2024","W","932","-0.81","0.17","0.20","0.32","-0.00","-0.12","-0.24"
"","Tsiki Ntsabeleng","FCD","2024","AM","1226","-0.17","-0.02","-0.02","0.53","-0.27","-0.29","-0.24"
"","Alfredo Morales","SJE","2024","DM","779","0.14","0.05","-0.27","0.06","-0.10","-0.11","-0.24"
"","McKinze Gaines","NSH, HOU","2024","W","361","0.18","-0.00","0.03","-0.22","-0.17","-0.06","-0.24"
"","Dax McCarty","ATL","2024","DM","1076","0.02","-0.10","0.32","-0.01","-0.26","-0.21","-0.24"
"","Nathan Ordaz","LAFC","2024","W","481","0.01","-0.06","-0.33","-0.26","0.43","-0.04","-0.25"
"","Jannes Horn","STL","2024","FB","645","0.03","0.02","-0.21","-0.07","-0.03","-0.00","-0.25"
"","Ayo Akinola","TOR","2024","ST","121","-0.05","0.00","-0.04","-0.02","-0.08","-0.07","-0.25"
"","Tomas Pondeca","FCD","2024","AM","131","-0.06","0.04","-0.04","-0.14","-0.03","-0.03","-0.25"
"","Jules-Anthony Vilsaint","MTL","2024","AM","943","0.24","0.17","-0.00","-0.85","0.08","0.10","-0.26"
"","Khiry Shelton","SKC","2024","FB","1192","-0.28","-0.01","-0.14","0.29","-0.00","-0.13","-0.26"
"","Franco Negri","MIA","2024","FB","876","0.03","0.02","0.00","-0.11","-0.10","-0.11","-0.26"
"","Kimani Stewart-Baynes","COL","2024","W","212","-0.33","0.00","0.03","0.01","0.11","-0.08","-0.26"
"","Will Sands","NER, CLB","2024","FB","777","-0.15","0.07","0.15","-0.35","0.02","0.00","-0.27"
"","Ben Bender","CLT","2024","AM","228","-0.13","-0.02","-0.00","-0.14","0.02","0.01","-0.27"
"","Fernando Álvarez","MTL","2024","CB","2396","0.09","0.26","-0.09","0.03","-0.41","-0.16","-0.27"
"","Artur","HOU","2024","DM","3398","-0.29","-0.63","0.65","0.61","-0.64","0.03","-0.27"
"","Henry Wingo","TOR","2024","CB","194","-0.01","0.02","-0.18","-0.04","-0.04","-0.02","-0.27"
"","Boris Enow","DCU","2024","CM","348","0.02","-0.03","-0.10","-0.05","-0.13","0.01","-0.29"
"","Kristian Fletcher","DCU","2024","W","338","-0.16","-0.02","-0.13","-0.17","0.11","0.08","-0.29"
"","Eriq Zavaleta","LAG","2024","CB","182","0.00","-0.24","-0.06","0.02","-0.04","0.03","-0.29"
"","Jayden Reid","STL","2024","FB","846","0.08","0.01","-0.01","0.08","-0.34","-0.12","-0.29"
"","Nicolás Lodeiro","ORL","2024","CM","1984","-0.12","-0.57","-0.20","0.75","-0.37","0.21","-0.29"
"","Maxi Moralez","NYC","2024","AM","1016","-0.13","0.03","0.05","0.30","-0.41","-0.14","-0.29"
"","Griffin Dorsey","HOU","2024","FB","2962","0.57","0.14","-1.01","-1.39","0.97","0.42","-0.30"
"","Malik Pinto","CIN","2024","CM","227","0.06","-0.07","0.02","-0.07","-0.15","-0.08","-0.30"
"","Rodrigo Schlegel","ORL","2024","CB","2612","0.09","-0.12","-0.20","0.01","-0.19","0.10","-0.30"
"","Andres Jasson","NYC","2024","FB","186","-0.03","0.07","0.04","-0.14","-0.15","-0.09","-0.30"
"","Sean Zawadzki","CLB","2024","CM","2032","0.15","0.05","0.21","0.14","-0.62","-0.24","-0.30"
"","Stuart Armstrong","VAN","2024","W","163","-0.22","0.00","-0.10","-0.10","0.05","0.06","-0.30"
"","Sergio Santos","CIN","2024","ST","1114","-0.65","-0.05","0.05","-0.82","1.18","-0.02","-0.31"
"","Rida Zouhir","MTL","2024","CM","215","-0.06","-0.00","-0.06","-0.08","-0.06","-0.05","-0.31"
"","Luca Langoni","NER","2024","W","761","0.17","0.20","-0.12","-0.07","-0.30","-0.19","-0.31"
"","CJ Fodrey","ATX","2024","W","257","-0.09","-0.04","-0.02","-0.18","-0.00","0.02","-0.31"
"","Nathan Fogaça","POR","2024","ST","285","-0.47","0.06","-0.06","-0.20","0.26","0.10","-0.32"
"","Jefferson Díaz","MIN","2024","CB","899","0.07","-0.02","-0.30","-0.10","-0.01","0.02","-0.33"
"","Jake Girdwood-Reich","STL","2024","CM","196","-0.03","-0.04","-0.06","0.04","-0.16","-0.08","-0.33"
"","Justin Reynolds","CHI","2024","FB","271","-0.01","0.01","-0.33","-0.15","0.11","0.03","-0.33"
"","Dante Vanzeir","NYRB","2024","ST","2293","0.27","-0.27","0.06","-0.13","0.04","-0.30","-0.34"
"","Alan Velasco","FCD","2024","W","419","0.23","-0.09","-0.01","-0.20","-0.28","0.01","-0.34"
"","Victor Wanyama","MTL","2024","CM","474","-0.03","0.00","0.08","-0.19","-0.14","-0.06","-0.34"
"","Bjørn Inge Utvik","VAN","2024","CB","1929","-0.04","-0.24","-1.16","0.53","0.45","0.11","-0.35"
"","Nick Firmino","ATL","2024","W","204","-0.07","-0.02","-0.05","0.03","-0.18","-0.06","-0.35"
"","Matt Hedges","ATX","2024","CB","1018","-0.00","0.03","-0.22","-0.13","0.00","-0.03","-0.36"
"","Alexandru Matan","CLB","2024","CM","1642","0.68","-0.02","-0.31","0.02","-0.50","-0.22","-0.36"
"","Dario Zuparic","POR","2024","CB","2533","0.04","0.12","-0.06","0.02","-0.43","-0.05","-0.36"
"","Maren Haile-Selassie","CHI","2024","W","2288","-0.18","0.10","-0.24","0.23","-0.08","-0.20","-0.36"
"","Yuya Kubo","CIN","2024","ST","2687","-0.26","-0.17","0.26","-1.23","0.70","0.34","-0.36"
"","Ralph Priso","VAN","2024","DM","550","-0.01","0.00","0.21","-0.26","-0.17","-0.13","-0.36"
"","Jovan Mijatović","NYC","2024","ST","338","0.04","-0.05","0.09","-0.27","-0.21","0.02","-0.37"
"","Bobby Wood","NER","2024","ST","651","-0.05","-0.09","-0.17","-0.33","0.23","0.03","-0.37"
"","Matt Crooks","RSL","2024","AM","2083","0.55","-0.24","-0.10","-0.17","0.03","-0.43","-0.37"
"","Frankie Amaya","NYRB","2024","CM","1807","0.19","-0.02","0.11","-0.11","-0.46","-0.08","-0.37"
"","Show","FCD","2024","CM","549","0.03","-0.04","-0.06","-0.18","-0.07","-0.06","-0.37"
"","Akil Watts","STL","2024","FB","1124","-0.10","-0.24","0.26","-0.19","-0.05","-0.06","-0.37"
"","Tommy McNamara","NER","2024","W","224","-0.05","-0.01","-0.07","-0.04","-0.11","-0.09","-0.38"
"","Oleksandr Svatok","ATX","2024","CB","476","-0.08","0.03","-0.16","-0.05","-0.06","-0.05","-0.38"
"","Emiro Garcés","LAG","2024","CB","464","-0.00","-0.07","0.00","0.04","-0.24","-0.11","-0.38"
"","Nelson Palacio","RSL","2024","DM","891","-0.05","-0.20","0.20","0.13","-0.33","-0.15","-0.40"
"","Michael Wentzel","STL","2024","CB","208","-0.06","0.00","-0.22","-0.05","-0.04","-0.02","-0.40"
"","Ousseni Bouda","SJE","2024","ST","433","-0.01","-0.06","-0.32","-0.16","0.24","-0.09","-0.40"
"","Tom Pearce","MTL","2024","FB","284","-0.07","-0.01","-0.15","-0.15","-0.00","-0.03","-0.40"
"","Nolan Norris","FCD","2024","CM","230","-0.16","0.01","0.01","-0.13","-0.07","-0.06","-0.41"
"","Bernard Kamungo","FCD","2024","AM","1525","-0.38","0.35","0.11","-0.36","-0.06","-0.06","-0.41"
"","Felipe","ORL","2024","DM","455","0.00","-0.02","-0.23","-0.13","0.06","-0.10","-0.42"
"","Ryan Raposo","VAN","2024","FB","1766","-0.25","0.24","-0.05","-1.01","0.44","0.21","-0.42"
"","Aaron Long","LAFC","2024","CB","2655","-0.50","-0.15","0.85","-0.29","-0.29","-0.05","-0.42"
"","Miguel Berry","LAG","2024","ST","1009","-0.17","-0.14","-0.05","-0.01","0.20","-0.26","-0.42"
"","Enzo Copetti","CLT","2024","ST","554","0.18","-0.05","-0.05","-0.15","-0.18","-0.17","-0.42"
"","Tyler Boyd","NSH","2024","W","1246","-0.15","0.14","-0.20","-0.03","0.02","-0.21","-0.42"
"","Kyle Smith","ORL","2024","FB","1357","-0.22","-0.21","0.33","0.09","-0.28","-0.15","-0.43"
"","Aziel Jackson","CLB, STL","2024","AM","1298","-0.57","0.20","-0.12","-0.20","0.06","0.21","-0.43"
"","Kei Kamara","LAFC","2024","ST","1168","0.07","-0.21","0.09","0.35","-0.60","-0.12","-0.43"
"","Deybi Flores","TOR","2024","CM","2343","-0.36","-0.16","0.70","0.19","-0.48","-0.32","-0.43"
"","Ian Fray","MIA","2024","FB","765","0.09","-0.17","-0.16","-0.25","0.03","0.03","-0.43"
"","Felipe Hernández","SKC","2024","CM","446","-0.08","0.00","-0.12","-0.17","-0.03","-0.03","-0.43"
"","Alonso Coello","TOR","2024","CM","1696","-0.19","-0.03","-0.07","0.46","-0.34","-0.27","-0.43"
"","Tyler Wolff","ATL","2024","W","594","0.02","-0.04","0.00","-0.26","-0.11","-0.04","-0.44"
"","Tomás Avilés","MIA","2024","CB","2449","-0.02","-0.14","0.17","-0.14","-0.24","-0.07","-0.44"
"","Gerardo Valenzuela","CIN","2024","ST","1140","-0.10","0.26","0.18","-0.27","-0.26","-0.25","-0.44"
"","Jordan Adebayo-Smith","MIN","2024","ST","329","-0.06","-0.02","-0.07","-0.15","-0.12","-0.03","-0.45"
"","Alex Muyl","NSH","2024","W","2565","-1.25","0.21","0.04","-0.95","1.25","0.25","-0.45"
"","Chase Gasper","CHI","2024","FB","274","-0.07","-0.24","-0.05","-0.03","-0.03","-0.03","-0.45"
"","Paul Arriola","FCD","2024","FB","2747","-0.41","0.31","-0.42","-0.81","0.46","0.42","-0.46"
"","Ronald Donkor","NYRB","2024","CM","1091","0.05","-0.06","-0.08","0.37","-0.46","-0.28","-0.47"
"","Xavier Arreaga","SEA, NER","2024","CB","2450","-0.54","-0.24","0.88","-0.25","-0.25","-0.08","-0.48"
"","Matt Miazga","CIN","2024","CB","1593","0.01","-0.10","-0.66","0.53","-0.26","0.01","-0.48"
"","Raheem Edwards","MTL","2024","FB","1723","-0.86","-0.27","0.35","-0.15","0.32","0.13","-0.48"
"","Theodore Ku-Dipietro","DCU","2024","W","2075","0.17","0.16","0.28","-1.15","0.02","0.02","-0.49"
"","Jaylin Lindsey","CLT","2024","FB","366","0.06","-0.00","-0.54","0.07","-0.04","-0.05","-0.49"
"","Ajani Fortune","ATL","2024","DM","1525","0.32","-0.24","-0.00","-0.08","-0.39","-0.10","-0.49"
"","Tobias Salquist","CHI","2024","CB","1041","0.15","-0.13","-0.25","-0.04","-0.12","-0.09","-0.49"
"","Christian McFarlane","NYC","2024","FB","439","-0.09","-0.04","-0.11","-0.21","-0.02","-0.03","-0.49"
"","Tayvon Gray","NYC","2024","FB","1893","-0.23","-0.27","0.17","0.14","-0.20","-0.09","-0.49"
"","Luís Martins","VAN","2024","FB","876","-0.07","0.05","-0.15","-0.19","-0.08","-0.04","-0.49"
"","Jeremy Rafanello","PHI","2024","AM","396","-0.11","-0.02","0.04","-0.09","-0.20","-0.12","-0.50"
"","Kevin O'Toole","NYC","2024","FB","2714","-0.80","0.34","-0.30","-0.24","0.27","0.23","-0.50"
"","Danley Jean Jacques","PHI","2024","DM","502","-0.09","0.00","-0.06","-0.19","-0.06","-0.11","-0.52"
"","Eryk Williamson","POR","2024","DM","1280","-0.28","-0.01","0.12","-0.10","-0.09","-0.17","-0.53"
"","Noel Buck","NER","2024","DM","605","0.00","-0.01","-0.13","0.01","-0.30","-0.10","-0.53"
"","Obed Vargas","SEA","2024","DM","2841","-0.07","0.66","0.38","-1.41","0.03","-0.13","-0.54"
"","Caleb Wiley","ATL","2024","FB","2145","-0.00","0.05","0.16","-0.39","-0.16","-0.20","-0.54"
"","Serge Ngoma","NYRB","2024","W","182","-0.17","-0.03","-0.04","-0.12","-0.13","-0.05","-0.54"
"","Marinos Tzionis","SKC","2024","W","322","-0.21","-0.03","-0.02","-0.23","0.01","-0.05","-0.54"
"","Andrew Farrell","NER","2024","FB","633","-0.07","-0.25","0.19","-0.23","-0.12","-0.07","-0.54"
"","Emiliano Rigoni","ATX","2024","W","802","-0.05","-0.08","0.01","0.08","-0.39","-0.13","-0.55"
"","Pavel Bucha","CIN","2024","CM","3301","-0.44","0.03","-0.05","-0.34","0.04","0.22","-0.55"
"","Mauricio Pineda","CHI","2024","CB","1340","-0.02","-0.17","-0.05","0.03","-0.30","-0.06","-0.55"
"","Dejan Joveljic","LAG","2024","ST","2108","-0.19","0.36","-0.47","-1.23","0.41","0.56","-0.56"
"","Zorhan Bassong","SKC","2024","FB","1416","0.07","-0.45","-0.15","0.26","-0.11","-0.17","-0.56"
"","Bryan Oviedo","RSL","2024","FB","743","-0.07","-0.25","-0.12","-0.09","0.01","-0.05","-0.57"
"","Sebastián Ferreira","HOU","2024","ST","838","-0.55","0.16","-0.04","-0.57","0.20","0.23","-0.58"
"","Jesús Ferreira","FCD","2024","AM","1471","-0.55","-0.13","0.08","-0.14","0.28","-0.12","-0.58"
"","Forster Ajago","NSH","2024","ST","469","-0.54","-0.05","0.21","-0.35","0.19","-0.04","-0.59"
"","Jacob Shaffelburg","NSH","2024","W","1569","-0.12","0.24","-0.13","-0.53","0.06","-0.11","-0.59"
"","Coco Carrasquilla","HOU","2024","W","2562","-0.26","-0.05","-0.18","1.01","-0.82","-0.30","-0.59"
"","Oscar Verhoeven","SJE","2024","FB","434","-0.05","0.02","-0.25","-0.16","-0.10","-0.05","-0.60"
"","Kevin Long","TOR","2024","CB","2398","-0.14","0.16","-0.29","0.14","-0.29","-0.18","-0.60"
"","Mark-Anthony Kaye","NER","2024","DM","1546","-0.32","-0.03","0.23","-0.08","-0.21","-0.19","-0.60"
"","José Martínez","PHI","2024","DM","1139","-0.23","0.05","-0.50","0.19","-0.20","0.07","-0.60"
"","Liam Fraser","FCD","2024","CM","1516","-0.22","-0.00","0.20","0.06","-0.45","-0.19","-0.61"
"","César Araújo","ORL","2024","DM","2754","-0.06","-0.10","-0.57","0.44","-0.39","0.05","-0.62"
"","Latif Blessing","HOU","2024","W","1142","-0.41","-0.11","0.05","-0.27","0.05","0.07","-0.62"
"","Cristian Espinoza","SJE","2024","W","3275","0.11","-0.35","-0.23","0.70","-0.65","-0.21","-0.63"
"","Jonathan Dean","CHI","2024","FB","1304","-0.15","-0.22","0.70","-0.77","-0.20","0.01","-0.64"
"","Gyasi Zardes","ATX","2024","ST","1411","0.01","-0.18","-0.04","0.19","-0.36","-0.26","-0.64"
"","Braian Ojeda","RSL","2024","DM","3033","0.20","-0.35","0.24","-0.90","-0.00","0.19","-0.64"
"","Dylan Borrero","NER","2024","W","1047","-0.05","-0.09","-0.01","-0.23","-0.40","0.14","-0.64"
"","Ryan Sailor","MIA","2024","CB","390","-0.16","-0.22","-0.10","-0.31","0.14","0.01","-0.64"
"","Josh Bauer","NSH","2024","CB","2112","-0.07","-0.16","0.19","-0.42","-0.02","-0.16","-0.64"
"","Bruno Wilson","SJE","2024","CB","1160","0.17","-0.46","-0.16","-0.15","-0.01","-0.04","-0.65"
"","Diego Fagundez","LAG","2024","W","1899","0.07","0.14","-0.24","-0.22","-0.27","-0.13","-0.65"
"","Keegan Rosenberry","COL","2024","FB","2957","-0.38","-0.13","-0.46","0.43","-0.13","0.01","-0.66"
"","Brad Smith","HOU","2024","W","515","-0.09","-0.04","-0.27","0.03","-0.21","-0.08","-0.66"
"","Fidel Barajas","RSL","2024","W","658","-0.19","-0.08","-0.23","0.04","-0.29","0.09","-0.66"
"","Emmanuel Boateng","NER","2024","W","830","-0.58","-0.12","0.02","-0.28","0.30","-0.01","-0.67"
"","Robert Taylor","MIA","2024","W","1787","0.07","-0.19","-0.10","-0.39","0.12","-0.17","-0.67"
"","Dany Rosero","SKC","2024","CB","2122","-0.02","0.13","-0.67","-0.37","0.16","0.10","-0.67"
"","Levonte Johnson","VAN","2024","W","800","-0.26","-0.04","0.03","-0.06","-0.19","-0.16","-0.67"
"","Sam Junqua","FCD","2024","CB","2517","0.07","0.09","-0.13","-0.18","-0.47","-0.06","-0.68"
